"id","text","topic"
"677800316302176256","RT @elmundoes: El humor de Rajoy, a toro pasado 👓👓👓 https://t.co/Ul58uIw3ix
TWEET CITADO POR EL RETWEETEADO: Iba a pedir unas gafas nuevas a los #ReyesMagos, pero me dicen que ya las han encontrado 😂😂 https://t.co/zxBXlm1xFD","10"
"673257691511439360","#L6Ncallerajoy Que diga Rajoy por qué se han tenido que marchar de España los que han querido trabajador por un sueldo digno.","2"
"675933662962143232","RT @Mhemeroteca: Hola @marianorajoy
Cuando llegaste al gobierno la deuda pública era 69,3%. Ahora es del 99,3%
¿No era ya descomunal? https…","2"
"676171060170084354","RT @mariangelespah: #encasadeelisa Sin voluntad política no hay solucion con #Las5delaPAH si y el @PPopular no las apoya. https://t.co/OEmW…","2"
"673558373028134914","RT @PaulyFerrero: Daniel Rivera y Tomy Aguero😀","11"
"678282360761241600","RT @H_Madera_: @SiNoToca yo prefiero pensar que @ahorapodemos nos hizo un simpático homenaje","9"
"673273881331896321","RT @PPopular: Democracia, libertad y DDHH, lo quiero para España y lo quiero para los venezolanos @MarianoRajoy #L6NcalleRajoy https://t.co…","2"
"669079406418202624","RT @gataamarilla1: El PP presenta por Guadalajara a un candidato con siete imputaciones por prevaricación https://t.co/kxSVuNCvpZ vía @peri…","2"
"665869651096793088","RT @jassawani: @orcos21528 @VeneIdeal una familia fortalecida en valores contribuirá con mejores ciudadanos para una mejor sociedad, tan ne…","11"
"676747161636347904","RT @vesteve3: #CarlosBarraGalán ""hagamos posible que el #20D se produzca esa insurrección ética que España necesita"" https://t.co/TozutLcqr…","9"
"679403112684212226","RT @Txus_46_93: Si Pedro Sánchez permite la investidura de Mariano Rajoy, será la confirmación definitiva de que Pablo Iglesias t... https:…","1"
"674607998015262720","RT @PodemosToledo: 13/12/15 19:00h @Pablo_Iglesias_ en el Palacio de Congresos de Toledo. 
¡Ven a sonreir con nosotros!
#UnPaisContigo http…","9"
"675457417480568834","#Update Rubén, me comprometo a elaborar una Ley Marco de Bienestar Animal.
El PSOE es el p.. https://t.co/KPIMG8zttc https://t.co/3NMGREeFk9","2"
"674317657064275968","RT @publico_es: Lo que Ciudadanos oculta sobre su contrato único https://t.co/qCWvQfKCT4 por @VicencNavarro https://t.co/7aBjUgvNxJ","2"
"674296916323213312","RT @Juliaenlaonda: .@sanchezcastejon: ""Yo soy el líder nuevo de un partido histórico. Los ciudadanos no quieren nuevos ni viejos. Quieren b…","1"
"663341813286223872","RT @CLMpressDigital: El PP recuerda que Page debe a agricultores y ganaderos más de 100 millones de euros  https://t.co/IiMnX7Iz0d @conCosp…","2"
"675221956346699781","RT @MariloCorona: #PSOE @PSOE .@sanchezcastejon @sanchezcastejon 
Primordial un acuerdo contra la Violencia de Género .. https://t.co/ajvyu…","2"
"674818338078507009","RT @ALVAROplanob: La de Ciudadanos q niega la violencia machista, apoyando ahora lo q antes veía fatal #elDBT @MartaRiveraCruz https://t.co…","2"
"671458140727214080","Que Pablo Iglesias se defina por nuestra revolución bolivariana y oiga menos las falsedades de la derecha venezolana https://t.co/A4a3jQ2e9Z
TWEET CITADO: Mientras corre el minuto de oro, @Pablo_Iglesias_ gana en nuestra encuesta #ELPAISDebate https://t.co/GmdhpmaMNV","1"
"672028439977836544","""Una encuesta por provincias prevé que Ciudadanos entre en casi todas las circunscripciones"" https://t.co/FrdAfWDtsM","1"
"674033151346393088","Para todos los que apoyáis a @CiudadanosCs que sepáis que en Aragón las primarias fueron amañadas, ahí lo dejo😊  https://t.co/AV5cGNytia","2"
"677938213986652162","@candangaNoticia En Venezuela se necesita gente honesta que este libre de corrupción(Gente de política) y vea por sus ciudadanos","11"
"678591802870505472","RT @edans: La gran verdad del debate la ha dicho @marianorajoy: ""hasta aquí hemos llegado""... ojalá sea así!
#CaraACaraL6","9"
"668565029906616320","Reitera Norberto Rivera: Papa llega a México el 12 de febrero: Notimex CIUDAD DE MÉXICO El cardenal Norberto R... https://t.co/FqeFkS6v5d","11"
"672790974876229634","RT @PPopular: Ofrecemos estabilidad, crecimiento y empleo @marianorajoy #EspañaEnSerio https://t.co/cPSAYLYSUx","2"
"674227242361335808","RT @Sanchez_futbol: Al final serán: una de calamares, una de bravas, dos bocadillos de jamón y dos cervezas. #7DelDebateDecisivo https://t.…","9"
"676427620289019905","Q VOTAN LOS PARADOS,ESTO?
Rajoy deja menos ocupados,+trabajadores precarios y +parados sin protección https://t.co/PT9k6BxqMT vía","2"
"675063927022186498","RT @ahorapodemos: ""Si queréis ver la mejor encuesta, mirad de qué lado están las sonrisas"" @ierrejon #CanariasContigo https://t.co/tPKzvAo8…","1"
"675434292906954753","RT @uv_epo: Según GIPEyOP, Garzón el íder político mejor valorado #VotaPP #VotaPSOE #VotaCiudadanos #votapodemos #votaUPYD #20D https://t.c…","9"
"677409260117098496","RT @sanchezcastejon: Os dejo la entrevista de @eldiarioes: ""No vamos a hacer un recorte de 10.000 millones porque es imposible"". https://t.…","2"
"679450640532254721","RT @Galeusca: El acta de defunción del PSOE, mañana en sus kioskos (via @JPBellido ) https://t.co/nWKXb4JsWx
TWEET CITADO POR EL RETWEETEADO: #EnPortada Mañana en EXPANSIÓN https://t.co/qWfuezrKKk","1"
"673272708176683009","@carpitiusa @CiudadanosCs @Albert_Rivera el pacto de perdedores es precisamente para eso, meter miedo. Albert siempre descartó Podemos","1"
"672732074546208768","El gran acontecimiento va a ser la derrota del PSOE.","1"
"661919930653261824","RT @KikeMlaga: Algo q decir Psoe y Cs?
La Audiencia Nacional sostiene que PSOE e IU se financiaron cobrando mordidas https://t.co/GLtz3SWeD…","2"
"673925770222428160","RT @_sentisis: ¿Quién ganará esta noche el debate?@Pablo_Iglesias_ mejor valorado en la red @ahorapodemos #7DElDebateDecisivo https://t.co/…","9"
"678539917761380352","RT @thesweetrumpet: Y votar al PP también lo complica.","9"
"671498507245735936","RT @MinInteriorEc: .@PoliciaEcuador #ZamoraChinchipe detuvo a 2 ciudadanos por presunto delito de estafa conocido como el paquetazo. https:…","11"
"674791635536977920","RT @norejj: España espera que se respete la elección de los ciudadanos, tras la clara victoria de la oposición
@combatiente21 https://t.co/…
TWEET CITADO POR EL RETWEETEADO: España pide a @NicolasMaduro que respete el resultado de las elecciones https://t.co/SQMnmv5Hgm #Venezuela https://t.co/ascYu3ZgdU","2"
"663169862404034560","RT @JuanMalaga2011: @CiudadanosCs es la otra cara del  PP, 17 capitales gobernadas por el PP gracias a Ciudadanos #L6Ncallerivera https://t…","1"
"675383957861478400","RT @Zarzosa: Elsa Beskow y Diego Rivera. La navidad en México y Suecia: https://t.co/YYq1zwUmzJ","11"
"678703147968241664","RT @richi4_96: Votos necesarios para 1 escaño:

#PP: 52.581
#PSOE: 53.124
#Podemos: 66.234
#Ciudadanos: 78.416
#UP: 410.208
¿Democracia rea…","1"
"673436922631598080","Pero vais a votar cambio no? No votéis más de lo mismo .OS propongo el voto a @ahorapodemos  https://t.co/4VD4jJAQbc
TWEET CITADO: Buenos días amig@s 󾁁 󾁁 󾁁 Hoy os pongo un vídeo de una pequeña parte de los miles de militantes y simpatizantes... https://t.co/vJzvh9j7ac","9"
"676560250531655682","y los de la PAh poniendo carteles. yo como no me lo creo...pues q vivir para ver https://t.co/OSbtZXkQxa
TWEET CITADO: Pablo Iglesias dice que el tono crispado del debate no es lo que quiere el país. Pablo Iglesias. Lo ha dicho","9"
